timestamp,dimension,iteration,configuration,time
1742870534,200,12,"Transpose Only",0.013200069
1742870534,200,12,"O3 + loop",0.002668520
1742870534,200,12,"O3 + transpose",0.002586953
1742870534,400,1,"Standard",0.056745231
1742870535,400,1,"Transpose Only",0.056482668
1742870535,400,1,"O3 + loop",0.015800015
1742870535,400,1,"O3 + transpose",0.013136732
1742870535,400,2,"Standard",0.054735825
1742870535,400,2,"Transpose Only",0.062027189
1742870535,400,2,"O3 + loop",0.012257165
1742870535,400,2,"O3 + transpose",0.017749868
1742870536,400,3,"Standard",0.062802510
1742870536,400,3,"Transpose Only",0.056243361
1742870536,400,3,"O3 + loop",0.014986935
1742870536,400,3,"O3 + transpose",0.014116516
1742870536,400,4,"Standard",0.061615112
1742870536,400,4,"Transpose Only",0.053879038
1742870537,400,4,"O3 + loop",0.015197700
1742870537,400,4,"O3 + transpose",0.016344804
1742870537,400,5,"Standard",0.060699107
1742870537,400,5,"Transpose Only",0.056483188
1742870537,400,5,"O3 + loop",0.017051182
1742870537,400,5,"O3 + transpose",0.014383218
1742870537,400,6,"Standard",0.055005556
1742870538,400,6,"Transpose Only",0.064287439
1742870538,400,6,"O3 + loop",0.015290864
1742870538,400,6,"O3 + transpose",0.013084646
1742870538,400,7,"Standard",0.061381339
1742870538,400,7,"Transpose Only",0.070914262
1742870538,400,7,"O3 + loop",0.011657924
1742870538,400,7,"O3 + transpose",0.015404763
1742870539,400,8,"Standard",0.054693704
1742870539,400,8,"Transpose Only",0.052521146
1742870539,400,8,"O3 + loop",0.014892181
1742870539,400,8,"O3 + transpose",0.015207345
1742870539,400,9,"Standard",0.052256472
1742870539,400,9,"Transpose Only",0.054764377
1742870539,400,9,"O3 + loop",0.017729426
1742870540,400,9,"O3 + transpose",0.013591723
1742870540,400,10,"Standard",0.062775133
1742870540,400,10,"Transpose Only",0.053871834
1742870540,400,10,"O3 + loop",0.015718120
1742870540,400,10,"O3 + transpose",0.013198344
1742870540,400,11,"Standard",0.056185389
1742870540,400,11,"Transpose Only",0.055054904
1742870541,400,11,"O3 + loop",0.016376317
1742870541,400,11,"O3 + transpose",0.010345040
1742870541,400,12,"Standard",0.052378781
1742870541,400,12,"Transpose Only",0.054886826
1742870541,400,12,"O3 + loop",0.015387806
1742870541,400,12,"O3 + transpose",0.014261791
1742870542,800,1,"Standard",0.404547043
1742870542,800,1,"Transpose Only",0.388083996
1742870543,800,1,"O3 + loop",0.081444813
1742870543,800,1,"O3 + transpose",0.055606433
1742870544,800,2,"Standard",0.409960961
1742870544,800,2,"Transpose Only",0.403298761
1742870544,800,2,"O3 + loop",0.085807694
1742870545,800,2,"O3 + transpose",0.052138874
1742870545,800,3,"Standard",0.415676669
1742870546,800,3,"Transpose Only",0.400819830
1742870546,800,3,"O3 + loop",0.086861477
1742870546,800,3,"O3 + transpose",0.054394843
1742870547,800,4,"Standard",0.405947082
1742870547,800,4,"Transpose Only",0.392601007
1742870548,800,4,"O3 + loop",0.077296569
1742870548,800,4,"O3 + transpose",0.057990040
1742870548,800,5,"Standard",0.403574751
1742870549,800,5,"Transpose Only",0.407393744
1742870549,800,5,"O3 + loop",0.083281320
1742870549,800,5,"O3 + transpose",0.052129302
1742870550,800,6,"Standard",0.426695603
1742870550,800,6,"Transpose Only",0.406805384
1742870551,800,6,"O3 + loop",0.081525853
1742870551,800,6,"O3 + transpose",0.055747546
1742870551,800,7,"Standard",0.414973242
1742870552,800,7,"Transpose Only",0.418752815
1742870552,800,7,"O3 + loop",0.079009650
1742870553,800,7,"O3 + transpose",0.053625416
1742870553,800,8,"Standard",0.423828038
1742870554,800,8,"Transpose Only",0.417552058
1742870554,800,8,"O3 + loop",0.093778532
1742870554,800,8,"O3 + transpose",0.063144021
1742870555,800,9,"Standard",0.419660711
1742870555,800,9,"Transpose Only",0.430231285
1742870556,800,9,"O3 + loop",0.082306412
1742870556,800,9,"O3 + transpose",0.054125210
1742870556,800,10,"Standard",0.415683363
1742870557,800,10,"Transpose Only",0.410027848
1742870557,800,10,"O3 + loop",0.076934113
1742870559,800,10,"O3 + transpose",0.741894341
1742870561,800,11,"Standard",0.751021319
1742870561,800,11,"Transpose Only",0.407956278
1742870561,800,11,"O3 + loop",0.091939169
1742870562,800,11,"O3 + transpose",0.057626475
1742870562,800,12,"Standard",0.451044647
1742870563,800,12,"Transpose Only",0.415611476
1742870563,800,12,"O3 + loop",0.081623308
1742870563,800,12,"O3 + transpose",0.054333064
1742870570,1600,1,"Standard",6.892363843
1742870574,1600,1,"Transpose Only",3.401581195
1742870575,1600,1,"O3 + loop",0.929425206
1742870576,1600,1,"O3 + transpose",0.483583777
1742870580,1600,2,"Standard",3.747596986
1742870584,1600,2,"Transpose Only",3.431241637
1742870585,1600,2,"O3 + loop",0.966330432
1742870586,1600,2,"O3 + transpose",0.481475151
1742870590,1600,3,"Standard",3.800346542
1742870594,1600,3,"Transpose Only",3.493601363
1742870596,1600,3,"O3 + loop",0.975679170
1742870596,1600,3,"O3 + transpose",0.479134618
