Threads,Size,Time
1,20,0.000007306
1,200,0.002466032
1,400,0.021534005
1,800,0.114133440
1,1600,0.978479084
1,3200,11.213786287
1,6400,95.352797519
1,12800,757.225831101
1,25600,5690.372869758
2,20,0.000246116
2,200,0.001747008
2,400,0.015957776
2,800,0.059269980
2,1600,0.496256695
2,3200,5.511040766
2,6400,47.295615065
2,12800,370.055371927
2,25600,2817.299366595
3,20,0.000276115
3,200,0.001531732
3,400,0.009950882
3,800,0.041784014
3,1600,0.329225271
3,3200,3.832373548
3,6400,31.393918732
3,12800,246.077897653
3,25600,1844.193194227
4,20,0.000198475
4,200,0.001262956
4,400,0.008417926
4,800,0.051317547
4,1600,0.305336156
4,3200,2.853748462
4,6400,23.242210063
4,12800,180.243629382
4,25600,1381.793022937
5,20,0.000368078
5,200,0.001062115
5,400,0.006776499
5,800,0.034316179
5,1600,0.252237413
5,3200,2.341664159
5,6400,19.112800839
5,12800,147.522471879
5,25600,1140.891648574
6,20,0.000305404
6,200,0.000904475
6,400,0.005505070
6,800,0.030800215
6,1600,0.215547278
6,3200,2.012761877
6,6400,16.176300920
6,12800,128.798269905
6,25600,1000.491214181
7,20,0.000338845
7,200,0.000848516
7,400,0.004909474
7,800,0.028748508
7,1600,0.211927117
7,3200,1.793436619
7,6400,14.829438207
7,12800,117.670590353
7,25600,918.054924599
8,20,0.000214590
8,200,0.000824791
8,400,0.004524271
8,800,0.028329078
8,1600,0.189489131
8,3200,1.638170545
8,6400,13.066137688
8,12800,108.964588560
8,25600,844.117196790
9,20,0.000312144
9,200,0.000765525
9,400,0.003968557
9,800,0.030312727
9,1600,0.184037938
9,3200,1.778472402
9,6400,15.238503667
9,12800,114.658958022
9,25600,821.284160194
10,20,0.000354780
10,200,0.000740100
10,400,0.003572747
10,800,0.026309383
10,1600,0.170647250
10,3200,1.646589162
10,6400,14.161680015
10,12800,104.969091410
10,25600,832.553389179
11,20,0.000268183
11,200,0.000818685
11,400,0.003441590
11,800,0.024960192
11,1600,0.168001055
11,3200,1.486436341
11,6400,13.359557036
11,12800,101.547354208
11,25600,788.103516438
12,20,0.000387416
12,200,0.000703811
12,400,0.003320146
12,800,0.023392902
12,1600,0.146491797
12,3200,1.379938223
12,6400,12.056046244
12,12800,99.873111683
12,25600,768.070527238
13,20,0.000379389
13,200,0.000722210
13,400,0.003050791
13,800,0.021745121
13,1600,0.154681444
13,3200,1.283505841
13,6400,11.202325260
13,12800,95.048397116
13,25600,777.268325405
14,20,0.000333904
14,200,0.000768753
14,400,0.002949768
14,800,0.019339919
14,1600,0.139837452
14,3200,1.204329406
14,6400,10.772559451
14,12800,90.546908479
14,25600,742.570397505
15,20,0.000358034
15,200,0.000748506
15,400,0.002740097
15,800,0.018959255
15,1600,0.119646502
15,3200,1.132706425
15,6400,10.213896827
15,12800,83.217894809
15,25600,703.049676797
16,20,0.000395335
16,200,0.000728768
16,400,0.002513071
16,800,0.017664599
16,1600,0.130593856
16,3200,1.110978073
16,6400,9.707982509
16,12800,80.760445082
16,25600,699.588764991
17,20,0.000420033
17,200,0.000649372
17,400,0.002449626
17,800,0.016667716
17,1600,0.120221421
17,3200,1.100340324
17,6400,9.546431663
17,12800,77.706121618
17,25600,639.110306068
18,20,0.000631430
18,200,0.000737931
18,400,0.002258113
18,800,0.015989511
18,1600,0.112309436
18,3200,1.011091016
18,6400,9.362918045
18,12800,75.971005159
18,25600,622.942978875
19,20,0.000555834
19,200,0.000540898
19,400,0.002149124
19,800,0.014905774
19,1600,0.116144080
19,3200,0.991605502
19,6400,9.149970353
19,12800,73.860780340
19,25600,611.257416148
20,20,0.000541662
20,200,0.000768796
20,400,0.002081287
20,800,0.014222223
20,1600,0.113634191
20,3200,0.962973489
20,6400,8.892455585
20,12800,71.776541296
20,25600,613.919916975
21,20,0.000688068
21,200,0.000716046
21,400,0.001974494
21,800,0.013705516
21,1600,0.103133220
21,3200,0.918589704
21,6400,8.512458638
21,12800,69.817483262
21,25600,601.500614609
22,20,0.000541240
22,200,0.000547416
22,400,0.002034264
22,800,0.013159332
22,1600,0.105334555
22,3200,0.858883663
22,6400,8.182661175
22,12800,67.979437928
22,25600,572.786262421
23,20,0.000673183
23,200,0.000876763
23,400,0.001945598
23,800,0.012920881
23,1600,0.099564711
23,3200,0.867693095
