Threads,Size,Time
23,6400,7.865656716
23,12800,66.603229472
23,25600,543.239908862
24,20,0.000499007
24,200,0.000816710
24,400,0.001843830
24,800,0.012317187
24,1600,0.097861450
24,3200,0.873204612
24,6400,7.829877356
24,12800,63.589242082
24,25600,528.302814032
25,20,0.000627672
25,200,0.000741829
25,400,0.001982804
25,800,0.012062335
25,1600,0.092463217
25,3200,0.816865379
25,6400,7.884114859
25,12800,62.963699567
25,25600,523.100768441
26,20,0.000697271
26,200,0.000827842
26,400,0.001794901
26,800,0.011302307
26,1600,0.090172564
26,3200,0.804510663
26,6400,7.491057584
26,12800,60.860127408
26,25600,505.901610974
27,20,0.000511029
27,200,0.000797251
27,400,0.002027987
27,800,0.010761547
27,1600,0.086714087
27,3200,0.751418447
27,6400,7.230788795
27,12800,58.794302363
27,25600,490.456359536
28,20,0.000703226
28,200,0.000630938
28,400,0.001836637
28,800,0.010481871
28,1600,0.083698056
28,3200,0.733052388
28,6400,6.892398492
28,12800,57.557940912
28,25600,479.959525999
29,20,0.000665515
29,200,0.000607447
29,400,0.001847561
29,800,0.010718487
29,1600,0.081605093
29,3200,0.695545074
29,6400,7.008309738
29,12800,57.265426151
29,25600,459.760923997
30,20,0.000767385
30,200,0.000638879
30,400,0.002097690
30,800,0.009956410
30,1600,0.078545041
30,3200,0.678954640
30,6400,6.732232521
30,12800,55.043355178
30,25600,456.701112572
31,20,0.000797560
31,200,0.000692999
31,400,0.001656538
31,800,0.011192382
31,1600,0.075384033
31,3200,0.662430895
31,6400,6.662317213
31,12800,54.897127744
31,25600,455.108163294
32,20,0.000739826
32,200,0.000850388
32,400,0.001782593
32,800,0.011500448
32,1600,0.091558139
32,3200,0.646031366
32,6400,6.824573309
32,12800,58.709305885
32,25600,515.262922439
