timestamp,dimension,iteration,configuration,time
1742778407,10,1,"Standard",0.000006147
1742778407,10,1,"Transpose Only",0.000005727
1742778407,10,1,"O3 + loop",0.000001816
1742778407,10,1,"O3 + transpose",0.000001956
1742778407,10,2,"Standard",0.000006146
1742778407,10,2,"Transpose Only",0.000012431
1742778408,10,2,"O3 + loop",0.000003352
1742778408,10,2,"O3 + transpose",0.000002793
1742778408,10,3,"Standard",0.000006147
1742778408,10,3,"Transpose Only",0.000005727
1742778408,10,3,"O3 + loop",0.000003841
1742778408,10,3,"O3 + transpose",0.000002864
1742778408,10,4,"Standard",0.000011873
1742778408,10,4,"Transpose Only",0.000014737
1742778408,10,4,"O3 + loop",0.000001396
1742778408,10,4,"O3 + transpose",0.000002863
1742778408,10,5,"Standard",0.000017251
1742778408,10,5,"Transpose Only",0.000011874
1742778409,10,5,"O3 + loop",0.000001886
1742778409,10,5,"O3 + transpose",0.000002794
1742778409,10,6,"Standard",0.000015225
1742778409,10,6,"Transpose Only",0.000012432
1742778409,10,6,"O3 + loop",0.000001815
1742778409,10,6,"O3 + transpose",0.000002933
1742778409,10,7,"Standard",0.000015505
1742778409,10,7,"Transpose Only",0.000006216
1742778409,10,7,"O3 + loop",0.000003352
1742778409,10,7,"O3 + transpose",0.000002864
1742778409,10,8,"Standard",0.000015226
1742778409,10,8,"Transpose Only",0.000012223
1742778410,10,8,"O3 + loop",0.000003283
1742778410,10,8,"O3 + transpose",0.000003841
1742778410,10,9,"Standard",0.000014457
1742778410,10,9,"Transpose Only",0.000006146
1742778410,10,9,"O3 + loop",0.000003772
1742778410,10,9,"O3 + transpose",0.000003352
1742778410,10,10,"Standard",0.000016553
1742778410,10,10,"Transpose Only",0.000012013
1742778410,10,10,"O3 + loop",0.000001955
1742778410,10,10,"O3 + transpose",0.000003841
1742778410,10,11,"Standard",0.000015226
1742778411,10,11,"Transpose Only",0.000006147
1742778411,10,11,"O3 + loop",0.000001815
1742778411,10,11,"O3 + transpose",0.000001956
1742778411,10,12,"Standard",0.000015296
1742778411,10,12,"Transpose Only",0.000006216
1742778411,10,12,"O3 + loop",0.000002863
1742778411,10,12,"O3 + transpose",0.000003283
1742778411,100,1,"Standard",0.010979344
1742778411,100,1,"Transpose Only",0.012057352
1742778411,100,1,"O3 + loop",0.000527725
1742778411,100,1,"O3 + transpose",0.000581154
1742778411,100,2,"Standard",0.004338993
1742778411,100,2,"Transpose Only",0.004242890
1742778412,100,2,"O3 + loop",0.001154765
1742778412,100,2,"O3 + transpose",0.001634019
1742778412,100,3,"Standard",0.011533958
1742778412,100,3,"Transpose Only",0.010442191
1742778412,100,3,"O3 + loop",0.000511172
1742778412,100,3,"O3 + transpose",0.001616140
1742778412,100,4,"Standard",0.004313571
1742778412,100,4,"Transpose Only",0.007341144
1742778412,100,4,"O3 + loop",0.001590368
1742778412,100,4,"O3 + transpose",0.001593860
1742778412,100,5,"Standard",0.012288739
1742778413,100,5,"Transpose Only",0.012138090
1742778413,100,5,"O3 + loop",0.000510963
1742778413,100,5,"O3 + transpose",0.001390551
1742778413,100,6,"Standard",0.004912673
1742778413,100,6,"Transpose Only",0.011135371
1742778413,100,6,"O3 + loop",0.001464025
1742778413,100,6,"O3 + transpose",0.001602939
1742778413,100,7,"Standard",0.010542553
1742778413,100,7,"Transpose Only",0.010257250
1742778413,100,7,"O3 + loop",0.001463116
1742778414,100,7,"O3 + transpose",0.000568163
1742778414,100,8,"Standard",0.004300580
1742778414,100,8,"Transpose Only",0.004460867
1742778414,100,8,"O3 + loop",0.001464653
1742778414,100,8,"O3 + transpose",0.001437904
1742778414,100,9,"Standard",0.010523905
1742778414,100,9,"Transpose Only",0.004336479
1742778414,100,9,"O3 + loop",0.000526956
1742778414,100,9,"O3 + transpose",0.001362055
1742778414,100,10,"Standard",0.012259963
1742778414,100,10,"Transpose Only",0.010790282
1742778414,100,10,"O3 + loop",0.001460253
1742778415,100,10,"O3 + transpose",0.001600146
1742778415,100,11,"Standard",0.011509792
1742778415,100,11,"Transpose Only",0.011169104
1742778415,100,11,"O3 + loop",0.000517667
1742778415,100,11,"O3 + transpose",0.001282645
1742778415,100,12,"Standard",0.011264508
1742778415,100,12,"Transpose Only",0.004618081
1742778415,100,12,"O3 + loop",0.001190384
1742778415,100,12,"O3 + transpose",0.001421071
1742778415,200,1,"Standard",0.043737953
1742778416,200,1,"Transpose Only",0.043862969
1742778416,200,1,"O3 + loop",0.004456258
1742778416,200,1,"O3 + transpose",0.012409076
1742778416,200,2,"Standard",0.034022675
1742778416,200,2,"Transpose Only",0.041299146
1742778416,200,2,"O3 + loop",0.011695781
1742778416,200,2,"O3 + transpose",0.012164909
1742778416,200,3,"Standard",0.034115914
1742778417,200,3,"Transpose Only",0.045767416
1742778417,200,3,"O3 + loop",0.011667845
1742778417,200,3,"O3 + transpose",0.012377298
1742778417,200,4,"Standard",0.034013735
1742778417,200,4,"Transpose Only",0.041305291
1742778417,200,4,"O3 + loop",0.012322891
1742778417,200,4,"O3 + transpose",0.012210655
1742778417,200,5,"Standard",0.042699335
1742778417,200,5,"Transpose Only",0.033725917
1742778418,200,5,"O3 + loop",0.012725111
1742778418,200,5,"O3 + transpose",0.004311127
1742778418,200,6,"Standard",0.034051310
1742778418,200,6,"Transpose Only",0.033545516
1742778418,200,6,"O3 + loop",0.004724589
1742778418,200,6,"O3 + transpose",0.005049704
1742778418,200,7,"Standard",0.034102994
1742778418,200,7,"Transpose Only",0.033990129
1742778418,200,7,"O3 + loop",0.004765028
1742778418,200,7,"O3 + transpose",0.009880871
1742778419,200,8,"Standard",0.034028123
1742778419,200,8,"Transpose Only",0.033596152
1742778419,200,8,"O3 + loop",0.004453464
1742778419,200,8,"O3 + transpose",0.010977039
1742778419,200,9,"Standard",0.034054663
1742778419,200,9,"Transpose Only",0.043061046
1742778419,200,9,"O3 + loop",0.005598241
1742778419,200,9,"O3 + transpose",0.012358231
1742778419,200,10,"Standard",0.041631384
1742778420,200,10,"Transpose Only",0.043587793
1742778420,200,10,"O3 + loop",0.012786221
1742778420,200,10,"O3 + transpose",0.012383793
1742778420,200,11,"Standard",0.053259558
1742778420,200,11,"Transpose Only",0.035440604
1742778420,200,11,"O3 + loop",0.012744666
1742778420,200,11,"O3 + transpose",0.004434746
1742778420,200,12,"Standard",0.034006822
1742778421,200,12,"Transpose Only",0.041109386
1742778421,200,12,"O3 + loop",0.010285326
1742778421,200,12,"O3 + transpose",0.011565457
1742778421,400,1,"Standard",0.271723451
1742778421,400,1,"Transpose Only",0.269300150
1742778422,400,1,"O3 + loop",0.039268565
1742778422,400,1,"O3 + transpose",0.034581689
1742778422,400,2,"Standard",0.270575741
